Dataset,Model,Sorting Method,R,Latency,NDCG@10
TREC DL 2019,Flan-t5-large,Generation,1,13.98605949,0.5439
TREC DL 2019,Flan-t5-large,Generation,3,42.75156188,0.5564
TREC DL 2019,Flan-t5-large,Generation,5,72.32148482,0.5612
TREC DL 2019,Flan-t5-large,Generation,7,103.605778,0.5604
TREC DL 2019,Flan-t5-large,Generation,9,131.7509863,0.5605
TREC DL 2019,Flan-t5-large,Likelihood,1,2.375819095,0.6017
TREC DL 2019,Flan-t5-large,Likelihood,3,7.361868603,0.6452
TREC DL 2019,Flan-t5-large,Likelihood,5,12.27678903,0.6638
TREC DL 2019,Flan-t5-large,Likelihood,7,17.09486961,0.6639
TREC DL 2019,Flan-t5-large,Likelihood,9,21.85539691,0.6587
TREC DL 2019,Flan-t5-xl,Generation,1,16.66763718,0.5438
TREC DL 2019,Flan-t5-xl,Generation,3,49.83414139,0.5617
TREC DL 2019,Flan-t5-xl,Generation,5,83.53592904,0.5684
TREC DL 2019,Flan-t5-xl,Generation,7,115.97591,0.5701
TREC DL 2019,Flan-t5-xl,Generation,9,150.0137803,0.5701
TREC DL 2019,Flan-t5-xl,Likelihood,1,2.45970482,0.5848
TREC DL 2019,Flan-t5-xl,Likelihood,3,7.246463465,0.6638
TREC DL 2019,Flan-t5-xl,Likelihood,5,11.96388043,0.6907
TREC DL 2019,Flan-t5-xl,Likelihood,7,16.71399907,0.6766
TREC DL 2019,Flan-t5-xl,Likelihood,9,21.23931629,0.6831
TREC DL 2019,Flan-t5-xxl,Generation,1,19.48672033,0.5876
TREC DL 2019,Flan-t5-xxl,Generation,3,59.56861706,0.6472
TREC DL 2019,Flan-t5-xxl,Generation,5,102.9611405,0.6604
TREC DL 2019,Flan-t5-xxl,Generation,7,145.8133867,0.6666
TREC DL 2019,Flan-t5-xxl,Generation,9,184.4730844,0.6658
TREC DL 2019,Flan-t5-xxl,Likelihood,1,5.340974908,0.6129
TREC DL 2019,Flan-t5-xxl,Likelihood,3,15.92647051,0.6831
TREC DL 2019,Flan-t5-xxl,Likelihood,5,26.58332419,0.7018
TREC DL 2019,Flan-t5-xxl,Likelihood,7,37.14959267,0.7021
TREC DL 2019,Flan-t5-xxl,Likelihood,9,47.79171727,0.6995
TREC DL 2020,Flan-t5-large,Generation,1,13.59587553,0.5221
TREC DL 2020,Flan-t5-large,Generation,3,40.93551208,0.5438
TREC DL 2020,Flan-t5-large,Generation,5,67.68593989,0.5468
TREC DL 2020,Flan-t5-large,Generation,7,95.02498586,0.5456
TREC DL 2020,Flan-t5-large,Generation,9,121.9320909,0.5456
TREC DL 2020,Flan-t5-large,Likelihood,1,2.32058133,0.5623
TREC DL 2020,Flan-t5-large,Likelihood,3,7.323830888,0.6172
TREC DL 2020,Flan-t5-large,Likelihood,5,12.48958356,0.6259
TREC DL 2020,Flan-t5-large,Likelihood,7,17.29186324,0.6251
TREC DL 2020,Flan-t5-large,Likelihood,9,20.96897832,0.6276
TREC DL 2020,Flan-t5-xl,Generation,1,16.89524786,0.5282
TREC DL 2020,Flan-t5-xl,Generation,3,49.83406774,0.5458
TREC DL 2020,Flan-t5-xl,Generation,5,84.45576115,0.5457
TREC DL 2020,Flan-t5-xl,Generation,7,113.8181296,0.5468
TREC DL 2020,Flan-t5-xl,Generation,9,154.9390816,0.5468
TREC DL 2020,Flan-t5-xl,Likelihood,1,2.436944745,0.5869
TREC DL 2020,Flan-t5-xl,Likelihood,3,7.014650146,0.6585
TREC DL 2020,Flan-t5-xl,Likelihood,5,11.76464228,0.6717
TREC DL 2020,Flan-t5-xl,Likelihood,7,16.8973256,0.6686
TREC DL 2020,Flan-t5-xl,Likelihood,9,22.38000349,0.6745
TREC DL 2020,Flan-t5-xxl,Generation,1,18.70870913,0.5723
TREC DL 2020,Flan-t5-xxl,Generation,3,57.09079395,0.6229
TREC DL 2020,Flan-t5-xxl,Generation,5,99.1706757,0.6369
TREC DL 2020,Flan-t5-xxl,Generation,7,141.5105844,0.6393
TREC DL 2020,Flan-t5-xxl,Generation,9,183.7372903,0.6397
TREC DL 2020,Flan-t5-xxl,Likelihood,1,5.337352315,0.5851
TREC DL 2020,Flan-t5-xxl,Likelihood,3,16.16740861,0.6644
TREC DL 2020,Flan-t5-xxl,Likelihood,5,26.96728389,0.6895
TREC DL 2020,Flan-t5-xxl,Likelihood,7,37.85441566,0.6831
TREC DL 2020,Flan-t5-xxl,Likelihood,9,48.68909304,0.6824
