Dataset,Shuffle,Ranking Method,Sorting Method,NDCG@10
TREC DL 2019,Inverse,listwise,generate,0.1744
TREC DL 2019,None,listwise,generate,0.5549
TREC DL 2019,Random,listwise,generate,0.2973
TREC DL 2020,Inverse,listwise,generate,0.1618
TREC DL 2020,None,listwise,generate,0.552
TREC DL 2020,Random,listwise,generate,0.2934
TREC DL 2019,Inverse,listwise,likelihood,0.6355
TREC DL 2019,None,listwise,likelihood,0.6595
TREC DL 2019,Random,listwise,likelihood,0.6719
TREC DL 2020,Inverse,listwise,likelihood,0.599
TREC DL 2020,None,listwise,likelihood,0.6249
TREC DL 2020,Random,listwise,likelihood,0.5966
TREC DL 2019,Inverse,pairwise,bubblesort,0.3281
TREC DL 2019,None,pairwise,bubblesort,0.6355
TREC DL 2019,Random,pairwise,bubblesort,0.477
TREC DL 2020,Inverse,pairwise,bubblesort,0.2819
TREC DL 2020,None,pairwise,bubblesort,0.5866
TREC DL 2020,Random,pairwise,bubblesort,0.4049
TREC DL 2019,Inverse,pairwise,heapsort,0.6197
TREC DL 2019,None,pairwise,heapsort,0.6565
TREC DL 2019,Random,pairwise,heapsort,0.6351
TREC DL 2020,Inverse,pairwise,heapsort,0.556
TREC DL 2020,None,pairwise,heapsort,0.6189
TREC DL 2020,Random,pairwise,heapsort,0.5963
TREC DL 2019,Inverse,setwise,bubblesort,0.4549
TREC DL 2019,None,setwise,bubblesort,0.6666
TREC DL 2019,Random,setwise,bubblesort,0.573
TREC DL 2020,Inverse,setwise,bubblesort,0.4062
TREC DL 2020,None,setwise,bubblesort,0.6154
TREC DL 2020,Random,setwise,bubblesort,0.5079
TREC DL 2019,Inverse,setwise,heapsort,0.616
TREC DL 2019,None,setwise,heapsort,0.6506
TREC DL 2019,Random,setwise,heapsort,0.6409
TREC DL 2020,Inverse,setwise,heapsort,0.5936
TREC DL 2020,None,setwise,heapsort,0.5919
TREC DL 2020,Random,setwise,heapsort,0.5997
