Dataset,Model,Sorting Method,C,Latency,NDCG@10
TREC DL 2019,Flan-t5-large,Bubblesort,3,24.99213964,0.6872
TREC DL 2019,Flan-t5-large,Bubblesort,5,13.09798875,0.6394
TREC DL 2019,Flan-t5-large,Bubblesort,7,8.900503269,0.644
TREC DL 2019,Flan-t5-large,Bubblesort,9,5.788688538,0.6278
TREC DL 2019,Flan-t5-large,Heapsort,3,6.31863196,0.6517
TREC DL 2019,Flan-t5-large,Heapsort,5,4.098282032,0.6415
TREC DL 2019,Flan-t5-large,Heapsort,7,3.043250733,0.6291
TREC DL 2019,Flan-t5-large,Heapsort,9,2.536360175,0.6183
TREC DL 2019,Flan-t5-xl,Bubblesort,3,28.78405469,0.6989
TREC DL 2019,Flan-t5-xl,Bubblesort,5,18.08612833,0.6787
TREC DL 2019,Flan-t5-xl,Bubblesort,7,12.6477668,0.6826
TREC DL 2019,Flan-t5-xl,Bubblesort,9,9.741412579,0.6748
TREC DL 2019,Flan-t5-xl,Heapsort,3,7.077888749,0.6881
TREC DL 2019,Flan-t5-xl,Heapsort,5,4.840145316,0.684
TREC DL 2019,Flan-t5-xl,Heapsort,7,3.844125548,0.6768
TREC DL 2019,Flan-t5-xl,Heapsort,9,3.14112381,0.6613
TREC DL 2019,Flan-t5-xxl,Bubblesort,3,48.75410343,0.7092
TREC DL 2019,Flan-t5-xxl,Bubblesort,5,34.47185296,0.6757
TREC DL 2019,Flan-t5-xxl,Bubblesort,7,24.40660674,0.6821
TREC DL 2019,Flan-t5-xxl,Bubblesort,9,18.60918073,0.6581
TREC DL 2019,Flan-t5-xxl,Heapsort,3,12.23696309,0.6813
TREC DL 2019,Flan-t5-xxl,Heapsort,5,9.087818817,0.6711
TREC DL 2019,Flan-t5-xxl,Heapsort,7,6.986541637,0.6674
TREC DL 2019,Flan-t5-xxl,Heapsort,9,5.608468971,0.6546
TREC DL 2020,Flan-t5-large,Bubblesort,3,24.44685472,0.6274
TREC DL 2020,Flan-t5-large,Bubblesort,5,13.18111192,0.6184
TREC DL 2020,Flan-t5-large,Bubblesort,7,8.293641406,0.5987
TREC DL 2020,Flan-t5-large,Bubblesort,9,6.172184876,0.58
TREC DL 2020,Flan-t5-large,Heapsort,3,6.230192838,0.6028
TREC DL 2020,Flan-t5-large,Heapsort,5,3.991629354,0.5941
TREC DL 2020,Flan-t5-large,Heapsort,7,3.128945074,0.5858
TREC DL 2020,Flan-t5-large,Heapsort,9,2.50805847,0.5824
TREC DL 2020,Flan-t5-xl,Bubblesort,3,28.93102188,0.6838
TREC DL 2020,Flan-t5-xl,Bubblesort,5,17.93307769,0.6765
TREC DL 2020,Flan-t5-xl,Bubblesort,7,12.32795173,0.6642
TREC DL 2020,Flan-t5-xl,Bubblesort,9,9.543092289,0.6512
TREC DL 2020,Flan-t5-xl,Heapsort,3,7.260776668,0.6663
TREC DL 2020,Flan-t5-xl,Heapsort,5,4.740233444,0.6661
TREC DL 2020,Flan-t5-xl,Heapsort,7,3.785586799,0.6633
TREC DL 2020,Flan-t5-xl,Heapsort,9,3.118401415,0.6443
TREC DL 2020,Flan-t5-xxl,Bubblesort,3,49.17071552,0.692
TREC DL 2020,Flan-t5-xxl,Bubblesort,5,34.4418677,0.6806
TREC DL 2020,Flan-t5-xxl,Bubblesort,7,24.78264488,0.6578
TREC DL 2020,Flan-t5-xxl,Bubblesort,9,18.3926942,0.6563
TREC DL 2020,Flan-t5-xxl,Heapsort,3,12.44200814,0.686
TREC DL 2020,Flan-t5-xxl,Heapsort,5,9.026606947,0.678
TREC DL 2020,Flan-t5-xxl,Heapsort,7,6.952621776,0.6477
TREC DL 2020,Flan-t5-xxl,Heapsort,9,5.605941623,0.6516
